epochth	original	50*x	50*x	30*x	10*x
168	0.9296	0.8904	0.8962	0.9296	0.9253
169	0.9312	0.8909	0.8964	0.9302	0.9266
170	0.9295	0.8926	0.8925	0.9299	0.9245
171	0.9292	0.8489	0.8963	0.9308	0.9258
172	0.9315	0.8886	0.897	0.9338	0.9245
173	0.9314	0.8388	0.8969	0.9282	0.9221
174	0.9291	0.8913	0.8971	0.9324	0.9264
175	0.928	0.8906	0.8969	0.9343	0.9219
176	0.9298	0.8889	0.8983	0.9331	0.9246
177	0.9275	0.89	0.896	0.9339	0.9255
178	0.9284	0.8902	0.8991	0.933	0.925
179	0.9297	0.893	0.8945	0.9328	0.9225
180	0.9281	0.8846	0.8948	0.9324	0.9225
181	0.9289	0.8855	0.8971	0.9323	0.9234
182	0.9291	0.8866	0.8987	0.932	0.9247
183	0.9288	0.8894	0.8973	0.9322	0.9243
184	0.9307	0.8897	0.8857	0.9326	0.9231
185	0.9302	0.8883	0.8986	0.9321	0.9226
186	0.9301	0.8881	0.8996	0.9341	0.926
187	0.9307	0.8895	0.9014	0.9332	0.9248
188	0.9292	0.8882	0.8981	0.9332	0.9241
189	0.9269	0.8911	0.8982	0.932	0.9267
190	0.9312	0.8901	0.8964	0.935	0.926
191	0.9301	0.8887	0.9008	0.9308	0.9244
192	0.9295	0.892	0.8969	0.9311	0.9241
193	0.9307	0.8934	0.8985	0.9321	0.9258
194	0.9308	0.8937	0.8955	0.9329	0.9255
195	0.9304	0.8943	0.8959	0.9315	0.9256
196	0.9323	0.8936	0.8984	0.9327	0.9252
197	0.9307	0.8928	0.8992	0.9323	0.9245
198	0.9301	0.8921	0.8993	0.9331	0.925
199	0.9311	0.893	0.8991	0.9308	0.9256
200	0.9307	0.8909	0.9009	0.9347	0.925
